Date: 4/25/2026

Start, Stop, Increment
Energy UDP
Start: 970.00000000
Stop: 1010.00000000
Increment: 0.20000000
Delay After Move (s): 0.10000000
Count Time (s): 1.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 1
Description Length: 0

Time (s)	Energy UDP	Izero	TEY	Filtered TEY	Filtered Izero	AI 2	AI 3_AWG	Channeltron	SSD CH 1	SSD CH 2	SSD CH 3	SSD CH 4	SSD CH 5	SSD CH 6	Beam Current	X Position	Y Position	Z Position	Ortec Counter	Gate	Gate 2	DioLaserOn	DioLaserOff	TFY_laserOn	TFY_laserOff
863.75900000	970.01003912	0.31849369	0.00096010	0.00000000	0.00000000	0.00000000	0.00000000	11036.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.07196021	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2.75700000	970.20699057	0.31425538	0.00095170	0.00000000	0.00000000	0.00000000	0.00000000	10643.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.00502961	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
6.78000000	970.40402202	0.30866212	0.00094660	0.00000000	0.00000000	0.00000000	0.00000000	9770.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	499.91541890	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
12.27300000	970.60817470	0.31582197	0.00095269	0.00000000	0.00000000	0.00000000	0.00000000	9969.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	499.94088721	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17.15100000	970.79832512	0.31832155	0.00095154	0.00000000	0.00000000	0.00000000	0.00000000	10536.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	499.83336823	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
22.12900000	971.00969077	0.32966376	0.00096503	0.00000000	0.00000000	0.00000000	0.00000000	11190.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.45274329	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
26.00400000	971.23524893	0.32651872	0.00094676	0.00000000	0.00000000	0.00000000	0.00000000	11073.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.35691809	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
29.00600000	971.40448634	0.32596114	0.00094890	0.00000000	0.00000000	0.00000000	0.00000000	10889.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.28894019	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
31.83200000	971.60906026	0.32656464	0.00095318	0.00000000	0.00000000	0.00000000	0.00000000	10709.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.22593526	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
35.08000000	971.80666169	0.33152181	0.00096273	0.00000000	0.00000000	0.00000000	0.00000000	11046.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.15671584	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
38.77100000	972.01846672	0.32221573	0.00094133	0.00000000	0.00000000	0.00000000	0.00000000	10370.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.07688463	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
43.59000000	972.20210577	0.32651559	0.00094973	0.00000000	0.00000000	0.00000000	0.00000000	10294.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	499.96757622	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
47.07400000	972.41408324	0.32390658	0.00095499	0.00000000	0.00000000	0.00000000	0.00000000	10012.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.45911730	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
51.43100000	972.60494202	0.32473703	0.00094380	0.00000000	0.00000000	0.00000000	0.00000000	10154.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.34876851	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
55.99200000	972.81002195	0.32191522	0.00090332	0.00000000	0.00000000	0.00000000	0.00000000	10170.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.25056433	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
60.71300000	973.00103621	0.32408630	0.00094380	0.00000000	0.00000000	0.00000000	0.00000000	10380.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.14950260	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
65.81700000	973.20628325	0.32467498	0.00095335	0.00000000	0.00000000	0.00000000	0.00000000	10677.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.03041468	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
69.26600000	973.40453498	0.31683148	0.00096042	0.00000000	0.00000000	0.00000000	0.00000000	10453.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.22177377	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
73.88000000	973.60995232	0.32324844	0.00093837	0.00000000	0.00000000	0.00000000	0.00000000	10084.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.33151221	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
