Date: 4/24/2026

Start, Stop, Increment
Energy UDP
Start: 970.00000000
Stop: 1010.00000000
Increment: 0.20000000
Delay After Move (s): 0.20000000
Count Time (s): 2.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 1
Description Length: 0

Time (s)	Energy UDP	Izero	TEY	Filtered TEY	Filtered Izero	AI 2	AI 3_AWG	Channeltron	SSD CH 1	SSD CH 2	SSD CH 3	SSD CH 4	SSD CH 5	SSD CH 6	Beam Current	X Position	Y Position	Z Position	Ortec Counter	Gate	Gate 2	DioLaserOn	DioLaserOff	TFY_laserOn	TFY_laserOff
475.59700000	970.02410443	0.35126511	0.00093500	0.00000000	0.00000000	0.00000000	0.00000000	5037.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.58492255	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3.65600000	970.20699057	0.35359706	0.00094430	0.00000000	0.00000000	0.00000000	0.00000000	5171.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.51183295	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
8.47000000	970.41809876	0.35576197	0.00095549	0.00000000	0.00000000	0.00000000	0.00000000	5096.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.40635657	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
12.28500000	970.60817470	0.36132857	0.00094586	0.00000000	0.00000000	0.00000000	0.00000000	5296.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.31602454	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
16.62800000	970.81241330	0.35145355	0.00094265	0.00000000	0.00000000	0.00000000	0.00000000	5120.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.22458443	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
22.63300000	971.00264376	0.35161179	0.00094899	0.00000000	0.00000000	0.00000000	0.00000000	5143.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.09797644	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
26.93500000	971.20704843	0.35870375	0.00094849	0.00000000	0.00000000	0.00000000	0.00000000	5256.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.00436377	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
31.76500000	971.42564517	0.35287293	0.00094537	0.00000000	0.00000000	0.00000000	0.00000000	5270.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	501.24753546	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
35.43600000	971.60906026	0.35257381	0.00095697	0.00000000	0.00000000	0.00000000	0.00000000	5190.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	501.16452765	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
39.77200000	971.81372037	0.34816780	0.00094043	0.00000000	0.00000000	0.00000000	0.00000000	5017.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	501.07762340	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
